intensity_in,R_out,G_out,B_out,X_R,X_G,X_B,Y_R,Y_G,Y_B,Z_R,Z_G,Z_B
2.666666666666666630e-01,5.895667249664164888e-01,5.825552499639248261e-01,6.930569157338996034e-01,7.331378436665522713e+01,1.579961935461677847e+01,1.754962711133844167e+01,3.185627352267109913e+01,6.199323171044586189e+01,1.449888390936305349e+01,1.398604000881150444e+00,2.518480417747516498e+01,1.023930328861994070e+02
2.705882352941176294e-01,5.906822095634786107e-01,5.883151051966651890e-01,6.964131900088638139e-01,7.428439108252771916e+01,1.591750976292573938e+01,1.770841688252727764e+01,3.226370387284381991e+01,6.232758918797316028e+01,1.464119969314945280e+01,1.383778993334367380e+00,2.538851359719509304e+01,1.036111389803010212e+02
2.745098039215686514e-01,5.917976941605407326e-01,5.889153045997563840e-01,6.994513327054017182e-01,7.525133878839716317e+01,1.608876512938088510e+01,1.787313530146501606e+01,3.266959828502800889e+01,6.316644513894207336e+01,1.478887367890078863e+01,1.369009873357721618e+00,2.565816335902811929e+01,1.047844710013268070e+02
2.784313725490196179e-01,5.936276666669781932e-01,5.895155040028475790e-01,7.021905067357905317e-01,7.613436075722363228e+01,1.625967177771742556e+01,1.804347731730314663e+01,3.303415773434529967e+01,6.400359297252431645e+01,1.494162926347094533e+01,1.340912998035291626e+00,2.592726404751194380e+01,1.059171603659615215e+02
2.823529411764705843e-01,5.957969439175316850e-01,5.901157034059387740e-01,7.049296807661794562e-01,7.697351219100490027e+01,1.643023077196604831e+01,1.821249552329527077e+01,3.337745723787814711e+01,6.483903790063526174e+01,1.509319771082254213e+01,1.306679845673407225e+00,2.619581733801375023e+01,1.070410470560125020e+02
2.862745098039215508e-01,5.979662211680850659e-01,5.907159028090299691e-01,7.076688547965683806e-01,7.780657514670620856e+01,1.660044317183299611e+01,1.838020529165479644e+01,3.371826592578703696e+01,6.567278511400790819e+01,1.524359280611265532e+01,1.272695072554378193e+00,2.646382489909168001e+01,1.081562332890244846e+02
2.901960784313725172e-01,6.001354984186384467e-01,5.913161022121211641e-01,7.104080288269573051e-01,7.863361564740245058e+01,1.677031003272200849e+01,1.854662175750789999e+01,3.405661080832057763e+01,6.650483978230046489e+01,1.539282812188845995e+01,1.238955985269253768e+00,2.673128839252937539e+01,1.092628197060305695e+02
2.941176470588235392e-01,6.023047756691918275e-01,5.919163016152123591e-01,7.131472028573462296e-01,7.945469876500656881e+01,1.693983240575612470e+01,1.871175982344674438e+01,3.439251850660398446e+01,6.733520705420306740e+01,1.554091702217037607e+01,1.205459929211702530e+00,2.699820947337031285e+01,1.103609054018287594e+02
2.980392156862745057e-01,6.149603278396433836e-01,6.004597519750498602e-01,7.139584183751727098e-01,7.582264589232831042e+01,1.638624868850413208e+01,1.892073153722018475e+01,3.295070002910729556e+01,6.430155726051022214e+01,1.573023587257899969e+01,1.408986635349243732e+00,2.614510631618637149e+01,1.117020807082678431e+02
3.019607843137254721e-01,6.275076348129010606e-01,6.012270308815340636e-01,7.142536818064226800e-01,7.730097735669183123e+01,1.660499569083780358e+01,1.914147588016266610e+01,3.361844235314665497e+01,6.530407952489289869e+01,1.593062441839074772e+01,1.492834328058986193e+00,2.646958000580878334e+01,1.131086356185878401e+02
3.058823529411764941e-01,6.368406745449992634e-01,6.019943097880181559e-01,7.145489452376725392e-01,7.750317501368829198e+01,1.682318508005780444e+01,1.936203779268506509e+01,3.373528706168826830e+01,6.630404623626040461e+01,1.613084735648587298e+01,1.595634748008465387e+00,2.679322657193946711e+01,1.145140281054466129e+02
3.098039215686274606e-01,6.390756718172749817e-01,6.027615886945023593e-01,7.148442086689223984e-01,7.851093807881790099e+01,1.704081898558704822e+01,1.958241750084376065e+01,3.413690653898446214e+01,6.730146715380426770e+01,1.633090489207510743e+01,1.535733348809704690e+00,2.711604917321237807e+01,1.159182596092467321e+02
3.137254901960784270e-01,6.409957533909609317e-01,6.035288676009864517e-01,7.151394721001723687e-01,7.929474074653074922e+01,1.725789952601973098e+01,1.980261523032179838e+01,3.447099803160433140e+01,6.829635198708768939e+01,1.653079723003028434e+01,1.511439830245538074e+00,2.743805095219893531e+01,1.173213315680119138e+02
3.176470588235293935e-01,6.428947881329992731e-01,6.042961465074705441e-01,7.154347355314222279e-01,8.005942441419151123e+01,1.747442880919007635e+01,2.002263120642967209e+01,3.479878948823569829e+01,6.928871039636074158e+01,1.673052457488503819e+01,1.489636717574834179e+00,2.775923503550997751e+01,1.187232454173919791e+02
3.215686274509803599e-01,6.510844287118460194e-01,6.050634254139547474e-01,7.157299989626721981e-01,7.993667737397269946e+01,1.769040893224055822e+01,2.024246565410606280e+01,3.478528503907015335e+01,7.027855199287292010e+01,1.693008713083547079e+01,1.620525192467554110e+00,2.807960453389694777e+01,1.201240025906676436e+02
3.254901960784313819e-01,6.519540925865424663e-01,6.058307043204389508e-01,7.160252623939220573e-01,8.083466677274780920e+01,1.790584198168960128e+01,2.046211879791865229e+01,3.516252868083076066e+01,7.126588633918352400e+01,1.712948510174090089e+01,1.601892531473907644e+00,2.839916254235235726e+01,1.215236045187556186e+02
3.294117647058823484e-01,6.528237564612389132e-01,6.065979832269230432e-01,7.163205258251719165e-01,8.173026364541694022e+01,1.812073003349879130e+01,2.068159086206484076e+01,3.553876722691601486e+01,7.225072294946956220e+01,1.732871869112451080e+01,1.583309513747666930e+00,2.871791214020943173e+01,1.229220526302133010e+02
3.333333333333333148e-01,6.536934203359353601e-01,6.073652621334072466e-01,7.166157892564218868e-01,8.262347754092208163e+01,1.833507515313951330e+01,2.090088207037252488e+01,3.591400468881830932e+01,7.323307128983130099e+01,1.752778810217405336e+01,1.564775941154868510e+00,2.903585639124100481e+01,1.243193483512435762e+02
3.372549019607843368e-01,6.545630842106319180e-01,6.081325410398913389e-01,7.169110526876717460e-01,8.351431795745770614e+01,1.854887939565918131e+01,2.111999264630088291e+01,3.628824505671111211e+01,7.421294077859570848e+01,1.772669353774255896e+01,1.546291616614524189e+00,2.935299834375773997e+01,1.257154931056999487e+02
3.411764705882353033e-01,6.554327480853283650e-01,6.088998199463755423e-01,7.172063161189217162e-01,8.440279434280739679e+01,1.876214480574689247e+01,2.133892281294109239e+01,3.666149229959037115e+01,7.519034078661728415e+01,1.792543520034899984e+01,1.527856344091639063e+00,2.966934103070546414e+01,1.271104883150910894e+02
3.450980392156862697e-01,6.563024119600248119e-01,6.096670988528596347e-01,7.175015795501715754e-01,8.528891609467781620e+01,1.897487341779858738e+01,2.155767279301712591e+01,3.703375036541483212e+01,7.616528063757687050e+01,1.812401329217899715e+01,1.509469928590276400e+00,2.998488746976193298e+01,1.285043353985858232e+02
3.490196078431372362e-01,6.571720758347212588e-01,6.104343777593437270e-01,7.263597675843294077e-01,8.617269256103013220e+01,1.918706725598176988e+01,1.942868109967178469e+01,3.740502318124521253e+01,7.713776960827810569e+01,1.616301020621272500e+01,1.491132176146686916e+00,3.029964066343274354e+01,1.140891709630513446e+02
3.529411764705882026e-01,6.580417397094178167e-01,6.112016566658279304e-01,7.280739186011120356e-01,8.705413304040861533e+01,1.939872833429970100e+01,2.079977062279671784e+01,3.777531465338232408e+01,7.810781692894168771e+01,1.741686950371017062e+01,1.472842893822486454e+00,3.061360359914656115e+01,1.232285707000748545e+02
3.568627450980392246e-01,6.589114035841142636e-01,6.433302142628950504e-01,7.458921593937080097e-01,8.793324678226689173e+01,1.799189796647640804e+01,2.069332062119715587e+01,3.814462866750407244e+01,7.087350106151403395e+01,1.727825723116063728e+01,1.454601889697889394e+00,2.847759369394038487e+01,1.221601708000436020e+02
3.607843137254901911e-01,6.597810674588107105e-01,6.440551512075833873e-01,7.732406148322462647e-01,8.881004298729135371e+01,1.836076647159595510e+01,2.107545800332798080e+01,3.851296908880134140e+01,7.245339695019967508e+01,1.758020278685027549e+01,1.436408972864994471e+00,2.899293883263753102e+01,1.233230986045087008e+02
3.647058823529411575e-01,6.606507313335071574e-01,6.447800881522717242e-01,7.783468694520009334e-01,8.968453080772221142e+01,1.872880552676192778e+01,2.117381583178077165e+01,3.888033976211288234e+01,7.402974023259517367e+01,1.765598378012063918e+01,1.418263953421127210e+00,2.950712514916517293e+01,1.236308262661142265e+02
3.686274509803921795e-01,6.615203952082036043e-01,6.455050250969599501e-01,7.820731151540109005e-01,9.055671934767192965e+01,1.909601792652537355e+01,2.129829444071193478e+01,3.924674451205904546e+01,7.560254287800569273e+01,1.776131261400951544e+01,1.400166642462229660e+00,3.002015654778261222e+01,1.241637786604552787e+02
3.725490196078431460e-01,6.623900590829001622e-01,6.462299620416482870e-01,7.850436468887096453e-01,9.142661766344113516e+01,1.946240645289769233e+01,2.143634108835833274e+01,3.961218714317453760e+01,7.717181680202807570e+01,1.788234063284989261e+01,1.382116852076306079e+00,3.053203691523007279e+01,1.248786407948521600e+02
3.764705882352941124e-01,6.837849540282300298e-01,6.469548989863366240e-01,7.883218317683777787e-01,8.809891443610000294e+01,1.982797387542090206e+01,2.156635043868238810e+01,3.825726201244639668e+01,7.873757386685161919e+01,1.799543048751028707e+01,1.560026108894974284e+00,3.104277012082681253e+01,1.257746935427467747e+02
3.803921568627450789e-01,6.862049103902233549e-01,6.630807729033635356e-01,7.890354806724193537e-01,8.900679682277458937e+01,1.906366749268863359e+01,2.175113313245034874e+01,3.864606670751724948e+01,7.504396746326412426e+01,1.816643724717568276e+01,1.573695713493092896e+00,2.999529594607350802e+01,1.270632821000161243e+02
3.843137254901960453e-01,6.886248667522167910e-01,6.634726219385711499e-01,7.897491295764610397e-01,8.990829827299550914e+01,1.929576613877252811e+01,2.193558187215123922e+01,3.903213873799570877e+01,7.609509434377547166e+01,1.833713494974420755e+01,1.587269243005311026e+00,3.032880035987651013e+01,1.283495418169557354e+02
3.882352941176470673e-01,6.910448231142101161e-01,6.638644709737787641e-01,7.904627784805027257e-01,9.080348582259280477e+01,1.952759079028519196e+01,2.211969756229047235e+01,3.941550681227596442e+01,7.714498035940542309e+01,1.850752443228852684e+01,1.600747706762027045e+00,3.066191106867343663e+01,1.296334790011656821e+02
3.921568627450980338e-01,6.934647794762034412e-01,6.642563200089863784e-01,7.911764273845444118e-01,9.169242557166747076e+01,1.975914193212004832e+01,2.230348110410997009e+01,3.979619923802210479e+01,7.819362770613633984e+01,1.867760652886109440e+01,1.614132100004757486e+00,3.099462876921157317e+01,1.309150999374879234e+02
3.960784313725490002e-01,6.949167804392529790e-01,6.646481690441939927e-01,7.918900762885860978e-01,9.251302680128576128e+01,1.999042004802704042e+01,2.248693339560286830e+01,4.014279409980994728e+01,7.924103857477182089e+01,1.884738207050779479e+01,1.603006590882106508e+00,3.132695415659510019e+01,1.321944108881088766e+02
4.000000000000000222e-01,6.960111611690866784e-01,6.650400180794016070e-01,7.926126661481754931e-01,9.330766592109984003e+01,2.022142562061597459e+01,2.266549887432479338e+01,4.047650360702953520e+01,8.028721515095215011e+01,1.901663736836213303e+01,1.582902401951412852e+00,3.165888792428993881e+01,1.333505592845987735e+02
4.039215686274509887e-01,6.971055418989203778e-01,6.654318671146091102e-01,7.933405939498130444e-01,9.409981004499829282e+01,2.045215913135991315e+01,2.284102009391995836e+01,4.080916533817472924e+01,8.133215961516947345e+01,1.918545525319403922e+01,1.562861335849708988e+00,3.199043076412860742e+01,1.344325055386079839e+02
4.078431372549019551e-01,6.981999226287540772e-01,6.658237161498167245e-01,7.940685217514505956e-01,9.488947090518861671e+01,2.068262106059846062e+01,2.301621951061771654e+01,4.114078422019800740e+01,8.237587414278277720e+01,1.935396362511007951e+01,1.542883095754815859e+00,3.232158336631495388e+01,1.355124681382181393e+02
