intensity_in R_out G_out B_out
1.058823529411764691e-01 3.603611735770647084e-01 3.253956867279842458e-01 3.923525623524902750e-01
1.098039215686274495e-01 3.663677226839082701e-01 3.313667478318055859e-01 3.983432275416825541e-01
1.137254901960784298e-01 3.722583623767570793e-01 3.372321013724500771e-01 4.042103446980637171e-01
1.176470588235294101e-01 3.780392143624442536e-01 3.429971702850176940e-01 4.099605945361733950e-01
1.215686274509803905e-01 3.837158853572646966e-01 3.486669291042389651e-01 4.156000877511223934e-01
1.254901960784313708e-01 3.892935255074890799e-01 3.542459542160381059e-01 4.211344303321467586e-01
1.294117647058823373e-01 3.947768785759038779e-01 3.597384670922507133e-01 4.265687795995218301e-01
1.333333333333333315e-01 4.001703252677848432e-01 3.651483716701107163e-01 4.319078925218143294e-01
1.372549019607843257e-01 4.054779208071871421e-01 3.704792868174742182e-01 4.371561675712873352e-01
1.411764705882352922e-01 4.107034276681261753e-01 3.757345746510896700e-01 4.423176811404533337e-01
1.450980392156862586e-01 4.158503442018653962e-01 3.809173653375312329e-01 4.473962193570586443e-01
1.490196078431372528e-01 4.209219297712676888e-01 3.860305788964615847e-01 4.523953059868662807e-01
1.529411764705882470e-01 4.259212268986095618e-01 3.910769444375214454e-01 4.573182269950057388e-01
1.568627450980392135e-01 4.308510808488027477e-01 3.960590171906697154e-01 4.621680522409640224e-01
1.607843137254901800e-01 4.357141570013470799e-01 4.009791936316524086e-01 4.669476547046225168e-01
1.647058823529411742e-01 4.405129563082716970e-01 4.058397249567138876e-01 4.716597275773482534e-01
1.686274509803921684e-01 4.452498290892703547e-01 4.106427291215469233e-01 4.763067995001248334e-01
1.725490196078431349e-01 4.499269873772177575e-01 4.153902016271485698e-01 4.808912481878075407e-01
1.764705882352941013e-01 4.545465159957203238e-01 4.200840252084029336e-01 4.854153126430293952e-01
1.803921568627450955e-01 4.591103825240778757e-01 4.247259785588174963e-01 4.898811041336911809e-01
1.843137254901960898e-01 4.636204462830457729e-01 4.293177442060787663e-01 4.942906160832182261e-01
1.882352941176470562e-01 4.680784664563076292e-01 4.338609156373123277e-01 4.986457330019932188e-01
1.921568627450980227e-01 4.724861094469828826e-01 4.383570037596046243e-01 5.029482385708601289e-01
1.960784313725490169e-01 4.768449555552920494e-01 4.428074427700476323e-01 5.071998229727777696e-01
2.000000000000000111e-01 4.811565050522864095e-01 4.472135954999579277e-01 5.114020895561203206e-01
2.039215686274509776e-01 4.854221837149825802e-01 4.515767582897186605e-01 5.155565609024002072e-01
2.078431372549019440e-01 4.896433478800568673e-01 4.558981654436678466e-01 5.196646843620249534e-01
2.117647058823529382e-01 4.938212890662300181e-01 4.601789933084222683e-01 5.237278371138374133e-01
